"ym","mdl","variable","value"
2017-02-01,"lead","V6",12725
2017-03-01,"lead","V6",13188
2017-04-01,"lead","V6",13688
2017-05-01,"lead","V6",14225
2017-06-01,"lead","V6",14782
2017-07-01,"lead","V6",15420
2017-08-01,"lead","V6",16023
2017-09-01,"lead","V6",16766
2017-10-01,"lead","V6",17412
2017-11-01,"lead","V6",18200
2017-12-01,"lead","V6",18938
2018-01-01,"lead","V6",19248
2018-02-01,"lead","V6",19670
2018-03-01,"lead","V6",20065
2018-04-01,"lead","V6",20442
2018-05-01,"lead","V6",20909
2018-06-01,"lead","V6",21363
2018-07-01,"lead","V6",21863
2018-08-01,"lead","V6",22226
2018-09-01,"lead","V6",22629
2018-10-01,"lead","V6",23005
2018-11-01,"lead","V6",23234
2018-12-01,"lead","V6",23724
2016-01-01,"lead","V7",6174
2016-02-01,"lead","V7",6569
2016-03-01,"lead","V7",6978
2016-04-01,"lead","V7",7366
2016-05-01,"lead","V7",7787
2016-06-01,"lead","V7",8208
2016-07-01,"lead","V7",8734
2016-08-01,"lead","V7",9249
2016-09-01,"lead","V7",9774
2016-10-01,"lead","V7",10389
2016-11-01,"lead","V7",11003
2016-12-01,"lead","V7",11608
2017-01-01,"lead","V7",12071
2017-02-01,"lead","V7",12555
2017-03-01,"lead","V7",13064
2017-04-01,"lead","V7",13604
2017-05-01,"lead","V7",14120
2017-06-01,"lead","V7",14715
2017-07-01,"lead","V7",15245
2017-08-01,"lead","V7",15923
2017-09-01,"lead","V7",16528
2017-10-01,"lead","V7",17213
2017-11-01,"lead","V7",17937
2017-12-01,"lead","V7",18637
2018-01-01,"lead","V7",18910
2018-02-01,"lead","V7",19267
2018-03-01,"lead","V7",19615
2018-04-01,"lead","V7",19981
2018-05-01,"lead","V7",20437
2018-06-01,"lead","V7",20893
2018-07-01,"lead","V7",21327
2018-08-01,"lead","V7",21703
2018-09-01,"lead","V7",22326
2018-10-01,"lead","V7",22652
2018-11-01,"lead","V7",22984
2018-12-01,"lead","V7",23469
2016-01-01,"lead","V8",6174
2016-02-01,"lead","V8",6600
2016-03-01,"lead","V8",6989
2016-04-01,"lead","V8",7379
2016-05-01,"lead","V8",7811
2016-06-01,"lead","V8",8346
2016-07-01,"lead","V8",8826
2016-08-01,"lead","V8",9340
2016-09-01,"lead","V8",9892
2016-10-01,"lead","V8",10510
2016-11-01,"lead","V8",11165
2016-12-01,"lead","V8",11818
2017-01-01,"lead","V8",12214
2017-02-01,"lead","V8",12779
2017-03-01,"lead","V8",13237
2017-04-01,"lead","V8",13745
2017-05-01,"lead","V8",14305
2017-06-01,"lead","V8",14897
2017-07-01,"lead","V8",15433
2017-08-01,"lead","V8",16066
2017-09-01,"lead","V8",16756
2017-10-01,"lead","V8",17453
2017-11-01,"lead","V8",18202
2017-12-01,"lead","V8",18876
2018-01-01,"lead","V8",19245
2018-02-01,"lead","V8",19700
2018-03-01,"lead","V8",20128
2018-04-01,"lead","V8",20557
2018-05-01,"lead","V8",21042
2018-06-01,"lead","V8",21431
2018-07-01,"lead","V8",21904
2018-08-01,"lead","V8",22283
2018-09-01,"lead","V8",22709
2018-10-01,"lead","V8",23175
2018-11-01,"lead","V8",23682
2018-12-01,"lead","V8",23946
2016-01-01,"lead","V9",6174
2016-02-01,"lead","V9",6567
2016-03-01,"lead","V9",6971
2016-04-01,"lead","V9",7420
2016-05-01,"lead","V9",7893
2016-06-01,"lead","V9",8383
2016-07-01,"lead","V9",8891
2016-08-01,"lead","V9",9444
2016-09-01,"lead","V9",10009
2016-10-01,"lead","V9",10631
2016-11-01,"lead","V9",11282
2016-12-01,"lead","V9",11990
2017-01-01,"lead","V9",12442
2017-02-01,"lead","V9",12924
2017-03-01,"lead","V9",13458
2017-04-01,"lead","V9",13947
2017-05-01,"lead","V9",14487
2017-06-01,"lead","V9",15080
2017-07-01,"lead","V9",15774
2017-08-01,"lead","V9",16448
2017-09-01,"lead","V9",17033
2017-10-01,"lead","V9",17609
2017-11-01,"lead","V9",18254
2017-12-01,"lead","V9",18920
2018-01-01,"lead","V9",19257
2018-02-01,"lead","V9",19667
2018-03-01,"lead","V9",20128
2018-04-01,"lead","V9",20539
2018-05-01,"lead","V9",20975
2018-06-01,"lead","V9",21263
2018-07-01,"lead","V9",21725
2018-08-01,"lead","V9",22222
2018-09-01,"lead","V9",22607
2018-10-01,"lead","V9",23022
2018-11-01,"lead","V9",23466
2018-12-01,"lead","V9",23899
2016-01-01,"lead","V10",6174
2016-02-01,"lead","V10",6550
2016-03-01,"lead","V10",6930
2016-04-01,"lead","V10",7336
2016-05-01,"lead","V10",7758
2016-06-01,"lead","V10",8244
2016-07-01,"lead","V10",8705
2016-08-01,"lead","V10",9253
2016-09-01,"lead","V10",9816
2016-10-01,"lead","V10",10403
2016-11-01,"lead","V10",11034
2016-12-01,"lead","V10",11787
2017-01-01,"lead","V10",12277
2017-02-01,"lead","V10",12822
2017-03-01,"lead","V10",13363
2017-04-01,"lead","V10",13892
2017-05-01,"lead","V10",14382
2017-06-01,"lead","V10",15015
2017-07-01,"lead","V10",15631
2017-08-01,"lead","V10",16280
2017-09-01,"lead","V10",16955
2017-10-01,"lead","V10",17621
2017-11-01,"lead","V10",18307
2017-12-01,"lead","V10",18997
2018-01-01,"lead","V10",19225
2018-02-01,"lead","V10",19508
2018-03-01,"lead","V10",20012
2018-04-01,"lead","V10",20255
2018-05-01,"lead","V10",20686
2018-06-01,"lead","V10",21139
2018-07-01,"lead","V10",21488
2018-08-01,"lead","V10",21992
2018-09-01,"lead","V10",22394
2018-10-01,"lead","V10",22845
2018-11-01,"lead","V10",23408
2018-12-01,"lead","V10",23843
2016-01-01,"lead","V11",6174
2016-02-01,"lead","V11",6541
2016-03-01,"lead","V11",6962
2016-04-01,"lead","V11",7378
2016-05-01,"lead","V11",7810
2016-06-01,"lead","V11",8309
2016-07-01,"lead","V11",8796
2016-08-01,"lead","V11",9364
2016-09-01,"lead","V11",9917
2016-10-01,"lead","V11",10531
2016-11-01,"lead","V11",11069
2016-12-01,"lead","V11",11682
2017-01-01,"lead","V11",12277
2017-02-01,"lead","V11",12804
2017-03-01,"lead","V11",13365
2017-04-01,"lead","V11",13912
2017-05-01,"lead","V11",14468
2017-06-01,"lead","V11",14918
2017-07-01,"lead","V11",15521
2017-08-01,"lead","V11",16116
2017-09-01,"lead","V11",16834
2017-10-01,"lead","V11",17485
2017-11-01,"lead","V11",18266
2017-12-01,"lead","V11",19041
2018-01-01,"lead","V11",19468
2018-02-01,"lead","V11",19810
2018-03-01,"lead","V11",20081
2018-04-01,"lead","V11",20512
2018-05-01,"lead","V11",20954
2018-06-01,"lead","V11",21266
2018-07-01,"lead","V11",21686
2018-08-01,"lead","V11",22095
2018-09-01,"lead","V11",22541
2018-10-01,"lead","V11",22940
2018-11-01,"lead","V11",23375
2018-12-01,"lead","V11",23750
2016-01-01,"lead","V12",6174
2016-02-01,"lead","V12",6565
2016-03-01,"lead","V12",6948
2016-04-01,"lead","V12",7350
2016-05-01,"lead","V12",7808
2016-06-01,"lead","V12",8273
2016-07-01,"lead","V12",8757
2016-08-01,"lead","V12",9322
2016-09-01,"lead","V12",9912
2016-10-01,"lead","V12",10467
2016-11-01,"lead","V12",11075
2016-12-01,"lead","V12",11776
2017-01-01,"lead","V12",12181
2017-02-01,"lead","V12",12623
2017-03-01,"lead","V12",13079
2017-04-01,"lead","V12",13552
2017-05-01,"lead","V12",14037
2017-06-01,"lead","V12",14591
2017-07-01,"lead","V12",15245
2017-08-01,"lead","V12",15802
2017-09-01,"lead","V12",16380
2017-10-01,"lead","V12",17095
2017-11-01,"lead","V12",17664
2017-12-01,"lead","V12",18309
2018-01-01,"lead","V12",18726
2018-02-01,"lead","V12",19138
2018-03-01,"lead","V12",19590
2018-04-01,"lead","V12",19993
2018-05-01,"lead","V12",20494
2018-06-01,"lead","V12",20889
2018-07-01,"lead","V12",21299
2018-08-01,"lead","V12",21700
2018-09-01,"lead","V12",22158
2018-10-01,"lead","V12",22452
2018-11-01,"lead","V12",22890
2018-12-01,"lead","V12",23277
2016-01-01,"lead","V13",6174
2016-02-01,"lead","V13",6550
2016-03-01,"lead","V13",6961
2016-04-01,"lead","V13",7368
2016-05-01,"lead","V13",7824
2016-06-01,"lead","V13",8298
2016-07-01,"lead","V13",8827
2016-08-01,"lead","V13",9340
2016-09-01,"lead","V13",9846
2016-10-01,"lead","V13",10458
2016-11-01,"lead","V13",11079
2016-12-01,"lead","V13",11768
2017-01-01,"lead","V13",12237
2017-02-01,"lead","V13",12767
2017-03-01,"lead","V13",13251
2017-04-01,"lead","V13",13792
2017-05-01,"lead","V13",14370
2017-06-01,"lead","V13",14914
2017-07-01,"lead","V13",15554
2017-08-01,"lead","V13",16233
2017-09-01,"lead","V13",16752
2017-10-01,"lead","V13",17383
2017-11-01,"lead","V13",18080
2017-12-01,"lead","V13",18907
2018-01-01,"lead","V13",19214
2018-02-01,"lead","V13",19667
2018-03-01,"lead","V13",20146
2018-04-01,"lead","V13",20483
2018-05-01,"lead","V13",20877
2018-06-01,"lead","V13",21285
2018-07-01,"lead","V13",21739
2018-08-01,"lead","V13",22033
2018-09-01,"lead","V13",22230
2018-10-01,"lead","V13",22744
2018-11-01,"lead","V13",23202
2018-12-01,"lead","V13",23646
2016-01-01,"lead","V14",6174
2016-02-01,"lead","V14",6551
2016-03-01,"lead","V14",6947
2016-04-01,"lead","V14",7386
2016-05-01,"lead","V14",7775
2016-06-01,"lead","V14",8195
2016-07-01,"lead","V14",8733
2016-08-01,"lead","V14",9208
2016-09-01,"lead","V14",9707
2016-10-01,"lead","V14",10289
2016-11-01,"lead","V14",10908
2016-12-01,"lead","V14",11510
2017-01-01,"lead","V14",11954
2017-02-01,"lead","V14",12455
2017-03-01,"lead","V14",12928
2017-04-01,"lead","V14",13442
2017-05-01,"lead","V14",14040
2017-06-01,"lead","V14",14565
2017-07-01,"lead","V14",15175
2017-08-01,"lead","V14",15695
2017-09-01,"lead","V14",16296
2017-10-01,"lead","V14",17060
2017-11-01,"lead","V14",17766
2017-12-01,"lead","V14",18536
2018-01-01,"lead","V14",18990
2018-02-01,"lead","V14",19363
2018-03-01,"lead","V14",19753
2018-04-01,"lead","V14",20222
2018-05-01,"lead","V14",20643
2018-06-01,"lead","V14",20984
2018-07-01,"lead","V14",21369
2018-08-01,"lead","V14",21824
2018-09-01,"lead","V14",22250
2018-10-01,"lead","V14",22647
2018-11-01,"lead","V14",23104
2018-12-01,"lead","V14",23547
2016-01-01,"lead","V15",6174
2016-02-01,"lead","V15",6569
2016-03-01,"lead","V15",6960
2016-04-01,"lead","V15",7406
2016-05-01,"lead","V15",7824
2016-06-01,"lead","V15",8280
2016-07-01,"lead","V15",8730
2016-08-01,"lead","V15",9255
2016-09-01,"lead","V15",9793
2016-10-01,"lead","V15",10297
2016-11-01,"lead","V15",10891
2016-12-01,"lead","V15",11492
2017-01-01,"lead","V15",11963
2017-02-01,"lead","V15",12428
2017-03-01,"lead","V15",12845
2017-04-01,"lead","V15",13370
2017-05-01,"lead","V15",13888
2017-06-01,"lead","V15",14556
2017-07-01,"lead","V15",15167
2017-08-01,"lead","V15",15745
2017-09-01,"lead","V15",16396
2017-10-01,"lead","V15",17049
2017-11-01,"lead","V15",17757
2017-12-01,"lead","V15",18599
2018-01-01,"lead","V15",18934
2018-02-01,"lead","V15",19351
2018-03-01,"lead","V15",19820
2018-04-01,"lead","V15",20156
2018-05-01,"lead","V15",20467
2018-06-01,"lead","V15",20856
2018-07-01,"lead","V15",21279
2018-08-01,"lead","V15",21729
2018-09-01,"lead","V15",22204
2018-10-01,"lead","V15",22579
2018-11-01,"lead","V15",23161
2018-12-01,"lead","V15",23747
2016-01-01,"lead","V16",6174
2016-02-01,"lead","V16",6523
2016-03-01,"lead","V16",6922
2016-04-01,"lead","V16",7347
2016-05-01,"lead","V16",7767
2016-06-01,"lead","V16",8253
2016-07-01,"lead","V16",8750
2016-08-01,"lead","V16",9342
2016-09-01,"lead","V16",9862
2016-10-01,"lead","V16",10418
2016-11-01,"lead","V16",11095
2016-12-01,"lead","V16",11752
2017-01-01,"lead","V16",12248
2017-02-01,"lead","V16",12690
2017-03-01,"lead","V16",13244
2017-04-01,"lead","V16",13792
2017-05-01,"lead","V16",14379
2017-06-01,"lead","V16",14920
2017-07-01,"lead","V16",15542
2017-08-01,"lead","V16",16172
2017-09-01,"lead","V16",16835
2017-10-01,"lead","V16",17527
2017-11-01,"lead","V16",18269
2017-12-01,"lead","V16",18972
2018-01-01,"lead","V16",19458
2018-02-01,"lead","V16",19792
2018-03-01,"lead","V16",20118
2018-04-01,"lead","V16",20556
2018-05-01,"lead","V16",20972
2018-06-01,"lead","V16",21320
2018-07-01,"lead","V16",21757
2018-08-01,"lead","V16",22176
2018-09-01,"lead","V16",22547
2018-10-01,"lead","V16",23024
2018-11-01,"lead","V16",23606
2018-12-01,"lead","V16",24178
2016-01-01,"lead","V17",6174
2016-02-01,"lead","V17",6603
2016-03-01,"lead","V17",7015
2016-04-01,"lead","V17",7420
2016-05-01,"lead","V17",7861
2016-06-01,"lead","V17",8351
2016-07-01,"lead","V17",8823
2016-08-01,"lead","V17",9324
2016-09-01,"lead","V17",9854
2016-10-01,"lead","V17",10453
2016-11-01,"lead","V17",11093
2016-12-01,"lead","V17",11734
2017-01-01,"lead","V17",12198
2017-02-01,"lead","V17",12753
2017-03-01,"lead","V17",13241
2017-04-01,"lead","V17",13748
2017-05-01,"lead","V17",14359
2017-06-01,"lead","V17",14938
2017-07-01,"lead","V17",15562
2017-08-01,"lead","V17",16262
2017-09-01,"lead","V17",16960
2017-10-01,"lead","V17",17667
2017-11-01,"lead","V17",18359
2017-12-01,"lead","V17",19049
2018-01-01,"lead","V17",19485
2018-02-01,"lead","V17",19825
2018-03-01,"lead","V17",20248
2018-04-01,"lead","V17",20618
2018-05-01,"lead","V17",21030
2018-06-01,"lead","V17",21508
2018-07-01,"lead","V17",21957
2018-08-01,"lead","V17",22368
2018-09-01,"lead","V17",22791
2018-10-01,"lead","V17",23375
2018-11-01,"lead","V17",23618
2018-12-01,"lead","V17",24139
2016-01-01,"lead","V18",6174
2016-02-01,"lead","V18",6499
2016-03-01,"lead","V18",6883
2016-04-01,"lead","V18",7274
2016-05-01,"lead","V18",7704
2016-06-01,"lead","V18",8231
2016-07-01,"lead","V18",8778
2016-08-01,"lead","V18",9304
2016-09-01,"lead","V18",9824
2016-10-01,"lead","V18",10438
2016-11-01,"lead","V18",11093
2016-12-01,"lead","V18",11703
2017-01-01,"lead","V18",12193
2017-02-01,"lead","V18",12647
2017-03-01,"lead","V18",13120
2017-04-01,"lead","V18",13592
2017-05-01,"lead","V18",14137
2017-06-01,"lead","V18",14638
2017-07-01,"lead","V18",15126
2017-08-01,"lead","V18",15623
2017-09-01,"lead","V18",16251
2017-10-01,"lead","V18",16948
2017-11-01,"lead","V18",17581
2017-12-01,"lead","V18",18252
2018-01-01,"lead","V18",18660
2018-02-01,"lead","V18",19045
2018-03-01,"lead","V18",19530
2018-04-01,"lead","V18",19909
2018-05-01,"lead","V18",20283
2018-06-01,"lead","V18",20835
2018-07-01,"lead","V18",21242
2018-08-01,"lead","V18",21574
2018-09-01,"lead","V18",22053
2018-10-01,"lead","V18",22501
2018-11-01,"lead","V18",22985
2018-12-01,"lead","V18",23486
2016-01-01,"lead","V19",6174
2016-02-01,"lead","V19",6577
2016-03-01,"lead","V19",7001
2016-04-01,"lead","V19",7419
2016-05-01,"lead","V19",7873
2016-06-01,"lead","V19",8366
2016-07-01,"lead","V19",8880
2016-08-01,"lead","V19",9412
2016-09-01,"lead","V19",10018
2016-10-01,"lead","V19",10644
2016-11-01,"lead","V19",11267
2016-12-01,"lead","V19",11916
2017-01-01,"lead","V19",12358
2017-02-01,"lead","V19",12798
2017-03-01,"lead","V19",13338
2017-04-01,"lead","V19",13855
2017-05-01,"lead","V19",14412
2017-06-01,"lead","V19",14936
2017-07-01,"lead","V19",15535
2017-08-01,"lead","V19",16021
2017-09-01,"lead","V19",16547
2017-10-01,"lead","V19",17269
2017-11-01,"lead","V19",17863
2017-12-01,"lead","V19",18547
2018-01-01,"lead","V19",18838
2018-02-01,"lead","V19",19173
2018-03-01,"lead","V19",19564
2018-04-01,"lead","V19",20065
2018-05-01,"lead","V19",20563
2018-06-01,"lead","V19",20988
2018-07-01,"lead","V19",21371
2018-08-01,"lead","V19",21816
2018-09-01,"lead","V19",22182
2018-10-01,"lead","V19",22629
2018-11-01,"lead","V19",23178
2018-12-01,"lead","V19",23605
2016-01-01,"lead","V20",6174
2016-02-01,"lead","V20",6533
2016-03-01,"lead","V20",6943
2016-04-01,"lead","V20",7368
2016-05-01,"lead","V20",7821
2016-06-01,"lead","V20",8313
2016-07-01,"lead","V20",8809
2016-08-01,"lead","V20",9266
2016-09-01,"lead","V20",9845
2016-10-01,"lead","V20",10387
2016-11-01,"lead","V20",11024
2016-12-01,"lead","V20",11710
2017-01-01,"lead","V20",12176
2017-02-01,"lead","V20",12670
2017-03-01,"lead","V20",13227
2017-04-01,"lead","V20",13793
2017-05-01,"lead","V20",14404
2017-06-01,"lead","V20",14919
2017-07-01,"lead","V20",15469
2017-08-01,"lead","V20",16107
2017-09-01,"lead","V20",16751
2017-10-01,"lead","V20",17388
2017-11-01,"lead","V20",18137
2017-12-01,"lead","V20",18857
2018-01-01,"lead","V20",19295
2018-02-01,"lead","V20",19623
2018-03-01,"lead","V20",20031
2018-04-01,"lead","V20",20385
2018-05-01,"lead","V20",20704
2018-06-01,"lead","V20",21175
2018-07-01,"lead","V20",21639
2018-08-01,"lead","V20",21974
2018-09-01,"lead","V20",22437
2018-10-01,"lead","V20",22866
2018-11-01,"lead","V20",23233
2018-12-01,"lead","V20",23713
2016-01-01,"lead","V21",6174
2016-02-01,"lead","V21",6554
2016-03-01,"lead","V21",6949
2016-04-01,"lead","V21",7398
2016-05-01,"lead","V21",7864
2016-06-01,"lead","V21",8297
2016-07-01,"lead","V21",8850
2016-08-01,"lead","V21",9408
2016-09-01,"lead","V21",9992
2016-10-01,"lead","V21",10634
2016-11-01,"lead","V21",11223
2016-12-01,"lead","V21",11899
2017-01-01,"lead","V21",12306
2017-02-01,"lead","V21",12830
2017-03-01,"lead","V21",13350
2017-04-01,"lead","V21",13861
2017-05-01,"lead","V21",14427
2017-06-01,"lead","V21",15062
2017-07-01,"lead","V21",15687
2017-08-01,"lead","V21",16331
2017-09-01,"lead","V21",17045
2017-10-01,"lead","V21",17862
2017-11-01,"lead","V21",18621
2017-12-01,"lead","V21",19310
2018-01-01,"lead","V21",19744
2018-02-01,"lead","V21",20225
2018-03-01,"lead","V21",20660
2018-04-01,"lead","V21",21015
2018-05-01,"lead","V21",21362
2018-06-01,"lead","V21",21789
2018-07-01,"lead","V21",22122
2018-08-01,"lead","V21",22601
2018-09-01,"lead","V21",23125
2018-10-01,"lead","V21",23628
2018-11-01,"lead","V21",24013
2018-12-01,"lead","V21",24470
2016-01-01,"lead","V22",6174
2016-02-01,"lead","V22",6584
2016-03-01,"lead","V22",6927
2016-04-01,"lead","V22",7333
2016-05-01,"lead","V22",7768
2016-06-01,"lead","V22",8262
2016-07-01,"lead","V22",8742
2016-08-01,"lead","V22",9260
2016-09-01,"lead","V22",9803
2016-10-01,"lead","V22",10404
2016-11-01,"lead","V22",10982
2016-12-01,"lead","V22",11725
2017-01-01,"lead","V22",12180
2017-02-01,"lead","V22",12654
2017-03-01,"lead","V22",13142
2017-04-01,"lead","V22",13658
2017-05-01,"lead","V22",14201
2017-06-01,"lead","V22",14752
2017-07-01,"lead","V22",15365
2017-08-01,"lead","V22",15977
2017-09-01,"lead","V22",16503
2017-10-01,"lead","V22",17108
2017-11-01,"lead","V22",17762
2017-12-01,"lead","V22",18604
2018-01-01,"lead","V22",18996
2018-02-01,"lead","V22",19295
2018-03-01,"lead","V22",19814
2018-04-01,"lead","V22",20247
2018-05-01,"lead","V22",20788
2018-06-01,"lead","V22",21184
2018-07-01,"lead","V22",21641
2018-08-01,"lead","V22",21975
2018-09-01,"lead","V22",22482
2018-10-01,"lead","V22",22870
2018-11-01,"lead","V22",23278
2018-12-01,"lead","V22",23859
2016-01-01,"lead","V23",6174
2016-02-01,"lead","V23",6525
2016-03-01,"lead","V23",6891
2016-04-01,"lead","V23",7322
2016-05-01,"lead","V23",7742
2016-06-01,"lead","V23",8232
2016-07-01,"lead","V23",8784
2016-08-01,"lead","V23",9365
2016-09-01,"lead","V23",9939
2016-10-01,"lead","V23",10532
2016-11-01,"lead","V23",11190
2016-12-01,"lead","V23",11904
2017-01-01,"lead","V23",12411
2017-02-01,"lead","V23",12939
2017-03-01,"lead","V23",13443
2017-04-01,"lead","V23",13869
2017-05-01,"lead","V23",14420
2017-06-01,"lead","V23",14953
2017-07-01,"lead","V23",15612
2017-08-01,"lead","V23",16246
2017-09-01,"lead","V23",16942
2017-10-01,"lead","V23",17657
2017-11-01,"lead","V23",18283
2017-12-01,"lead","V23",19055
2018-01-01,"lead","V23",19482
2018-02-01,"lead","V23",19890
2018-03-01,"lead","V23",20226
2018-04-01,"lead","V23",20715
2018-05-01,"lead","V23",21013
