"ym","mdl","variable","value"
2016-01-01,"lead","V1",6174
2016-02-01,"lead","V1",6534
2016-03-01,"lead","V1",6929
2016-04-01,"lead","V1",7342
2016-05-01,"lead","V1",7805
2016-06-01,"lead","V1",8276
2016-07-01,"lead","V1",8781
2016-08-01,"lead","V1",9291
2016-09-01,"lead","V1",9871
2016-10-01,"lead","V1",10436
2016-11-01,"lead","V1",11050
2016-12-01,"lead","V1",11716
2017-01-01,"lead","V1",12188
2017-02-01,"lead","V1",12667
2017-03-01,"lead","V1",13205
2017-04-01,"lead","V1",13739
2017-05-01,"lead","V1",14287
2017-06-01,"lead","V1",14840
2017-07-01,"lead","V1",15459
2017-08-01,"lead","V1",16030
2017-09-01,"lead","V1",16795
2017-10-01,"lead","V1",17442
2017-11-01,"lead","V1",18184
2017-12-01,"lead","V1",18928
2018-01-01,"lead","V1",19355
2018-02-01,"lead","V1",19689
2018-03-01,"lead","V1",20054
2018-04-01,"lead","V1",20407
2018-05-01,"lead","V1",20831
2018-06-01,"lead","V1",21168
2018-07-01,"lead","V1",21608
2018-08-01,"lead","V1",22034
2018-09-01,"lead","V1",22604
2018-10-01,"lead","V1",23045
2018-11-01,"lead","V1",23498
2018-12-01,"lead","V1",23914
2016-01-01,"lead","V2",6174
2016-02-01,"lead","V2",6539
2016-03-01,"lead","V2",6936
2016-04-01,"lead","V2",7362
2016-05-01,"lead","V2",7829
2016-06-01,"lead","V2",8325
2016-07-01,"lead","V2",8821
2016-08-01,"lead","V2",9392
2016-09-01,"lead","V2",9900
2016-10-01,"lead","V2",10514
2016-11-01,"lead","V2",11127
2016-12-01,"lead","V2",11844
2017-01-01,"lead","V2",12303
2017-02-01,"lead","V2",12849
2017-03-01,"lead","V2",13365
2017-04-01,"lead","V2",13816
2017-05-01,"lead","V2",14348
2017-06-01,"lead","V2",14839
2017-07-01,"lead","V2",15441
2017-08-01,"lead","V2",16157
2017-09-01,"lead","V2",16680
2017-10-01,"lead","V2",17402
2017-11-01,"lead","V2",18017
2017-12-01,"lead","V2",18847
2018-01-01,"lead","V2",19310
2018-02-01,"lead","V2",19642
2018-03-01,"lead","V2",20018
2018-04-01,"lead","V2",20414
2018-05-01,"lead","V2",20796
2018-06-01,"lead","V2",21391
2018-07-01,"lead","V2",21828
2018-08-01,"lead","V2",22213
2018-09-01,"lead","V2",22705
2018-10-01,"lead","V2",23174
2018-11-01,"lead","V2",23632
2018-12-01,"lead","V2",24097
2016-01-01,"lead","V3",6174
2016-02-01,"lead","V3",6553
2016-03-01,"lead","V3",6923
2016-04-01,"lead","V3",7312
2016-05-01,"lead","V3",7791
2016-06-01,"lead","V3",8205
2016-07-01,"lead","V3",8697
2016-08-01,"lead","V3",9188
2016-09-01,"lead","V3",9747
2016-10-01,"lead","V3",10365
2016-11-01,"lead","V3",10915
2016-12-01,"lead","V3",11603
2017-01-01,"lead","V3",12065
2017-02-01,"lead","V3",12493
2017-03-01,"lead","V3",12913
2017-04-01,"lead","V3",13460
2017-05-01,"lead","V3",13991
2017-06-01,"lead","V3",14561
2017-07-01,"lead","V3",15183
2017-08-01,"lead","V3",15877
2017-09-01,"lead","V3",16507
2017-10-01,"lead","V3",17137
2017-11-01,"lead","V3",17904
2017-12-01,"lead","V3",18567
2018-01-01,"lead","V3",18866
2018-02-01,"lead","V3",19210
2018-03-01,"lead","V3",19751
2018-04-01,"lead","V3",20091
2018-05-01,"lead","V3",20521
2018-06-01,"lead","V3",20851
2018-07-01,"lead","V3",21186
2018-08-01,"lead","V3",21586
2018-09-01,"lead","V3",22116
2018-10-01,"lead","V3",22524
2018-11-01,"lead","V3",23038
2018-12-01,"lead","V3",23386
2016-01-01,"lead","V4",6174
2016-02-01,"lead","V4",6536
2016-03-01,"lead","V4",6911
2016-04-01,"lead","V4",7317
2016-05-01,"lead","V4",7786
2016-06-01,"lead","V4",8251
2016-07-01,"lead","V4",8751
2016-08-01,"lead","V4",9283
2016-09-01,"lead","V4",9821
2016-10-01,"lead","V4",10364
2016-11-01,"lead","V4",10974
2016-12-01,"lead","V4",11637
2017-01-01,"lead","V4",12141
2017-02-01,"lead","V4",12617
2017-03-01,"lead","V4",13109
2017-04-01,"lead","V4",13704
2017-05-01,"lead","V4",14217
2017-06-01,"lead","V4",14805
2017-07-01,"lead","V4",15369
2017-08-01,"lead","V4",16005
2017-09-01,"lead","V4",16563
2017-10-01,"lead","V4",17196
2017-11-01,"lead","V4",17868
2017-12-01,"lead","V4",18643
2018-01-01,"lead","V4",18986
2018-02-01,"lead","V4",19385
2018-03-01,"lead","V4",19745
2018-04-01,"lead","V4",20084
2018-05-01,"lead","V4",20532
2018-06-01,"lead","V4",20911
2018-07-01,"lead","V4",21424
2018-08-01,"lead","V4",21884
2018-09-01,"lead","V4",22310
2018-10-01,"lead","V4",22791
2018-11-01,"lead","V4",23243
2018-12-01,"lead","V4",23744
2016-01-01,"lead","V5",6174
2016-02-01,"lead","V5",6536
2016-03-01,"lead","V5",6881
2016-04-01,"lead","V5",7298
2016-05-01,"lead","V5",7752
2016-06-01,"lead","V5",8191
2016-07-01,"lead","V5",8652
2016-08-01,"lead","V5",9159
2016-09-01,"lead","V5",9693
2016-10-01,"lead","V5",10288
2016-11-01,"lead","V5",10910
2016-12-01,"lead","V5",11602
2017-01-01,"lead","V5",12130
2017-02-01,"lead","V5",12614
2017-03-01,"lead","V5",13118
2017-04-01,"lead","V5",13653
2017-05-01,"lead","V5",14184
2017-06-01,"lead","V5",14746
2017-07-01,"lead","V5",15331
2017-08-01,"lead","V5",15958
2017-09-01,"lead","V5",16604
2017-10-01,"lead","V5",17254
2017-11-01,"lead","V5",17948
2017-12-01,"lead","V5",18655
2018-01-01,"lead","V5",19077
2018-02-01,"lead","V5",19459
2018-03-01,"lead","V5",19807
2018-04-01,"lead","V5",20187
2018-05-01,"lead","V5",20544
2018-06-01,"lead","V5",20969
2018-07-01,"lead","V5",21447
2018-08-01,"lead","V5",21922
2018-09-01,"lead","V5",22375
2018-10-01,"lead","V5",22815
2018-11-01,"lead","V5",23294
2018-12-01,"lead","V5",23755
2016-01-01,"lead","V6",6174
2016-02-01,"lead","V6",6502
2016-03-01,"lead","V6",6900
2016-04-01,"lead","V6",7305
2016-05-01,"lead","V6",7775
2016-06-01,"lead","V6",8297
2016-07-01,"lead","V6",8761
2016-08-01,"lead","V6",9304
2016-09-01,"lead","V6",9866
2016-10-01,"lead","V6",10441
2016-11-01,"lead","V6",11089
2016-12-01,"lead","V6",11780
2017-01-01,"lead","V6",12247
